,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,major_count,minor_count,mbti
0,0.5578409090909092,0.4488840909090909,0.553325,-8.35259090909091,0.2934690909090909,0.0199709929545454,0.1634022727272727,29.0,15.0,9
1,0.5876363636363636,0.4476030303030303,0.5562727272727273,-8.215696969696971,0.3414339393939394,0.0610408642424242,0.1545424242424242,21.0,12.0,9
2,0.6769999999999999,0.26503,0.8512800000000003,-5.0461,0.05808475,0.2503575614,0.26452,29.0,21.0,9
3,0.517,0.3378452380952381,0.5134119047619048,-10.172833333333331,0.4421630364285716,0.2109271526190476,0.152645238095238,33.0,9.0,9
4,0.5604,0.351366,0.445862,-10.572239999999995,0.4796774,0.069537275,0.169092,41.0,9.0,9
5,0.6139354838709677,0.5082903225806451,0.7283870967741938,-6.98658064516129,0.1883548387096774,0.0288639158064516,0.2204096774193548,17.0,14.0,9
6,0.5207999999999999,0.402024,0.6187520000000001,-7.242380000000001,0.263626766,0.0453293966,0.15108,32.0,18.0,9
7,0.6653999999999998,0.4345400000000001,0.41108,-10.79756,0.237461314,0.662444266,0.189096,13.0,37.0,9
8,0.5563999999999999,0.3607479999999999,0.49264,-9.1336,0.57667846,0.0038886866,0.143194,49.0,1.0,9
9,0.4950179999999999,0.39092,0.5745196,-9.631500000000004,0.3167257599999999,0.3207216536,0.169324,38.0,12.0,9
10,0.62752,0.33932,0.89672,-3.39622,0.014073806,0.1243236625999999,0.218584,25.0,25.0,9
11,0.53956,0.430516,0.604652,-7.666719999999999,0.29447955,0.0668512178,0.138808,32.0,18.0,9
12,0.63826,0.58396,0.7315599999999999,-7.102160000000001,0.1229784,3.07844e-05,0.247842,24.0,26.0,9
13,0.5239333333333333,0.4442599999999999,0.7252444444444444,-6.0246,0.1336195711111111,0.0312605006666666,0.1720444444444444,26.0,19.0,9
14,0.5715,0.4599956521739131,0.5888478260869564,-6.773565217391305,0.3406821956521739,0.0806609652173912,0.1761391304347826,35.0,11.0,9
