,mbti,function_pair,danceability,valence,energy,loudness,acousticness,instrumentalness,liveness,major_count,minor_count,mind,energy_aspect,nature,tactics
0,INFP,NF,0.6639206799547981,0.5379723045410966,0.5726816394121299,0.6931910333381881,0.2984896874520342,0.021782577299994985,0.24490895138351054,29.0,15.0,Introvert,Intuitive,Feeling,Prospecting
1,INFP,NF,0.6993820778533818,0.5364369970074668,0.5757324852750231,0.6982194477002522,0.34727510668843903,0.06657792864107348,0.23162972236407922,21.0,12.0,Introvert,Intuitive,Feeling,Prospecting
2,INFP,NF,0.8057392224279291,0.3176294343240652,0.8810598219830266,0.8146456897599128,0.05907844952094226,0.2730676910379931,0.396465206625939,29.0,21.0,Introvert,Intuitive,Feeling,Prospecting
3,INFP,NF,0.6153134091510183,0.4048960188102087,0.5313722880996737,0.6263295404991246,0.44972745217414073,0.23006051912639258,0.22878620089934293,33.0,9.0,Introvert,Intuitive,Feeling,Prospecting
4,INFP,NF,0.6669664110023804,0.4211001917545542,0.4614593251914717,0.6116584584347002,0.48788360218881593,0.07584505544446464,0.25343677120366426,41.0,9.0,Introvert,Intuitive,Feeling,Prospecting
5,INFP,NF,0.7306822738480178,0.6091686512232085,0.7538678294081906,0.7433675835951299,0.19157716665277713,0.031482184119016474,0.3303522164691557,17.0,14.0,Introvert,Intuitive,Feeling,Prospecting
6,INFP,NF,0.6198360222163448,0.48181208053691277,0.640397433243635,0.7339715127729131,0.2681368274374988,0.049441261516087985,0.226440206476058,32.0,18.0,Introvert,Intuitive,Feeling,Prospecting
7,INFP,NF,0.7919333509653529,0.5207813998082456,0.4254605671703581,0.603381961103435,0.24152374336337196,0.7225351019814579,0.28341896534151884,13.0,37.0,Introvert,Intuitive,Feeling,Prospecting
8,INFP,NF,0.6622057656704575,0.4323441994247363,0.5098737321465535,0.6645028580470342,0.5865441323053765,0.004241432394110162,0.21462059125054705,49.0,1.0,Introvert,Intuitive,Feeling,Prospecting
9,INFP,NF,0.5891512827294366,0.4685043144774689,0.5946176774994825,0.6462139000262774,0.32214422587928965,0.3498145649154699,0.25378449511088197,38.0,12.0,Introvert,Intuitive,Feeling,Prospecting
10,INFP,NF,0.7468500396720444,0.40666347075743053,0.9280894224798177,0.8752493974507859,0.014314577188307332,0.13560115898927458,0.32761587299684053,25.0,25.0,Introvert,Intuitive,Feeling,Prospecting
11,INFP,NF,0.6421634488230628,0.5159587727708533,0.6258041813289174,0.7183845747401199,0.2995174332268761,0.07291534390110889,0.20804681083219922,32.0,18.0,Introvert,Intuitive,Feeling,Prospecting
12,INFP,NF,0.7596323723882572,0.6998561840843721,0.7571517284206167,0.7391221006292507,0.1250822840171688,3.357687693146701e-05,0.3714680543648343,24.0,26.0,Introvert,Intuitive,Feeling,Prospecting
13,INFP,NF,0.6235651943930177,0.532430488974113,0.7506152395409277,0.7787032406269337,0.1359055016488447,0.034096165060897944,0.25786192429877336,26.0,19.0,Introvert,Intuitive,Feeling,Prospecting
14,INFP,NF,0.6801772017984661,0.5512891325190713,0.60944713939863,0.7511921070260573,0.34651050230087466,0.08797778427637652,0.2639990803823503,35.0,11.0,Introvert,Intuitive,Feeling,Prospecting
15,INFP,NF,0.7694393017720181,0.6254074784276127,0.7590146967501553,0.8318268048927279,0.19352741105392707,0.00030079011088882026,0.2551214335817361,30.0,20.0,Introvert,Intuitive,Feeling,Prospecting
